"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009060","aerobic respiration","112/2383","297/18860",0.377104377104377,2.98455247678915,13.1098888672596,1.58814605576935e-28,9.4987015595565e-25,8.16975765741561e-25,"UQCRC1/NDUFS1/NDUFB10/MDH1/NDUFS2/FH/NDUFA9/MDH2/DLD/MSH2/PFKM/IDH3A/IDH3B/DLAT/CYCS/GHITM/NDUFV1/SUCLA2/NDUFC2/PDK3/VCP/PDHA1/UCHL1/NDUFS3/UQCRFS1/MTCH2/COX5A/PINK1/NDUFA8/PDHB/IGF1/PGAM1/ZBTB20/DNAJC30/UQCRC2/NDUFB6/SNCA/NDUFA10/PRKAG2/NDUFB2/CCNB1/ALDOA/NDUFA13/COX6C/NDUFAB1/SDHB/UQCRH/STOML2/SLC25A14/CYC1/NDUFV2/ADPGK/NDUFS4/MPC2/NDUFA11/GAPDH/SUCLG1/UQCRB/GPI/CS/EIF6/TPI1/PRKAA1/ENO2/NNT/COX6B1/GIT1/NDUFB7/PFKP/NDUFS6/BCKDK/NDUFB8/RAN/PARK7/COX7A2P2/PDK2/PKM/GPD1/UQCRQ/COX4I1/PSEN1/COX7C/NDUFA6/BPGM/UQCR10/NDUFAF1/PRKAG1/COX7B/NDUFB3/PDP1/DDIT4/PANK2/NDUFB5/ACO2/NDUFA2/ADSL/COX7A2/TMEM135/NDUFB11/HDAC4/PPP2CA/INSR/HK1/NDUFV3/NDUFB9/SDHA/COX8A/COX6A1/COX5B/SRC/MFN2/NDUFA1",112
"GO:0045333","cellular respiration","120/2383","336/18860",0.357142857142857,2.82656915053054,12.8475599105325,5.89603621196462e-28,1.76320962918802e-24,1.51652257725637e-24,"UQCRC1/NDUFS1/NDUFB10/MDH1/NDUFS2/FH/NDUFA9/MDH2/DLD/MSH2/PFKM/IDH3A/IDH3B/DLAT/CYCS/GHITM/NDUFV1/SUCLA2/NDUFC2/PDK3/VCP/PDHA1/UCHL1/NDUFS3/UQCRFS1/MTCH2/COX5A/CISD1/PINK1/NDUFA8/PDHB/IGF1/IL4/PGAM1/ZBTB20/DNAJC30/UQCRC2/NDUFB6/SNCA/NDUFA10/PRKAG2/HCCS/NDUFB2/CCNB1/ALDOA/NDUFA13/COX6C/NDUFAB1/SDHB/UQCRH/STOML2/SLC25A14/CYC1/NDUFV2/ADPGK/NDUFS4/MPC2/NDUFA11/GAPDH/SUCLG1/UQCRB/GPI/CS/EIF6/TPI1/PRKAA1/ENO2/NNT/COX6B1/GIT1/NDUFB7/PFKP/NDUFS6/BCKDK/NDUFB8/RAN/PARK7/COX7A2P2/PDK2/PKM/GPD1/UQCRQ/COX4I1/SCO2/PSEN1/COX7C/NDUFA6/BPGM/UQCR10/NDUFAF1/PRKAG1/COX7B/NDUFB3/NR4A3/PDP1/LYRM7/DDIT4/PANK2/NDUFB5/ACO2/NDUFA2/ADSL/COX7A2/TMEM135/NDUFB11/HDAC4/PPP2CA/INSR/HK1/NDUFV3/NFATC4/NDUFB9/SDHA/COX8A/NOS2/COX6A1/COX5B/SRC/MFN2/NDUFA1",120
"GO:0042773","ATP synthesis coupled electron transport","55/2383","100/18860",0.55,4.35291649181704,12.784642861245,4.01080722500449e-24,5.58038826560988e-21,4.79964756008685e-21,"UQCRC1/NDUFS1/NDUFB10/NDUFS2/NDUFA9/DLD/CYCS/GHITM/NDUFV1/NDUFC2/NDUFS3/UQCRFS1/MTCH2/COX5A/PINK1/NDUFA8/UQCRC2/NDUFB6/SNCA/NDUFA10/NDUFB2/CCNB1/COX6C/NDUFAB1/SDHB/UQCRH/CYC1/NDUFV2/NDUFS4/NDUFA11/UQCRB/COX6B1/NDUFB7/NDUFS6/NDUFB8/PARK7/COX7A2P2/UQCRQ/COX4I1/COX7C/NDUFA6/UQCR10/NDUFAF1/COX7B/NDUFB3/NDUFB5/NDUFA2/COX7A2/NDUFV3/NDUFB9/SDHA/COX8A/COX6A1/COX5B/NDUFA1",55
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","55/2383","100/18860",0.55,4.35291649181704,12.784642861245,4.01080722500449e-24,5.58038826560988e-21,4.79964756008685e-21,"UQCRC1/NDUFS1/NDUFB10/NDUFS2/NDUFA9/DLD/CYCS/GHITM/NDUFV1/NDUFC2/NDUFS3/UQCRFS1/MTCH2/COX5A/PINK1/NDUFA8/UQCRC2/NDUFB6/SNCA/NDUFA10/NDUFB2/CCNB1/COX6C/NDUFAB1/SDHB/UQCRH/CYC1/NDUFV2/NDUFS4/NDUFA11/UQCRB/COX6B1/NDUFB7/NDUFS6/NDUFB8/PARK7/COX7A2P2/UQCRQ/COX4I1/COX7C/NDUFA6/UQCR10/NDUFAF1/COX7B/NDUFB3/NDUFB5/NDUFA2/COX7A2/NDUFV3/NDUFB9/SDHA/COX8A/COX6A1/COX5B/NDUFA1",55
"GO:0032543","mitochondrial translation","64/2383","131/18860",0.488549618320611,3.86657398301583,12.5205610012553,4.66509635981431e-24,5.58038826560988e-21,4.79964756008685e-21,"MRPL4/MRPL21/MRPL28/MRPL35/MRPS25/MRPS33/MRPL15/MRPL1/IARS2/COA3/GFM1/LRPPRC/MRPL30/MRPS23/MRPL2/DAP3/MRPL42/MRPS31/MRPL38/MRPS30/MRPL37/CDK5RAP1/TUFM/MRPS18C/MRPL47/MRPL44/GFM2/GADD45GIP1/MRPL54/MRPL14/RPUSD3/MRPS12/RARS2/RPUSD4/RMND1/MRPL46/MRPL55/MRPL9/MRPL45/MTG1/MRPS7/MRPL24/C1QBP/TACO1/NGRN/MRPL20/GATC/MRPL22/TRMT10C/MRPL52/MRPS22/MRPL23/MRPL3/FASTKD3/MRPL16/MRPL57/MALSU1/MRPL43/FASTKD2/MRPS10/MRPS17/TSFM/MRPS26/SARS2",64
"GO:0015980","energy derivation by oxidation of organic compounds","133/2383","434/18860",0.306451612903226,2.42537869045524,11.424622893436,1.36502689059894e-23,1.36070430544538e-20,1.1703309498872e-20,"UQCRC1/NDUFS1/NDUFB10/MDH1/NDUFS2/FH/NDUFA9/MDH2/DLD/MSH2/PFKM/IDH3A/IDH3B/DLAT/CYCS/GHITM/NDUFV1/SUCLA2/NDUFC2/PDK3/VCP/PDHA1/UCHL1/NDUFS3/UQCRFS1/MTCH2/COX5A/CISD1/PINK1/NDUFA8/PDHB/NR1D1/IGF1/GABARAPL1/IL4/PGAM1/ZBTB20/DNAJC30/UQCRC2/NDUFB6/SNCA/NDUFA10/PRKAG2/HCCS/NDUFB2/CCNB1/ALDOA/NDUFA13/GRB10/COX6C/NDUFAB1/SDHB/UQCRH/STOML2/SLC25A14/CYC1/NDUFV2/ADPGK/NDUFS4/MPC2/NDUFA11/GAPDH/SUCLG1/UQCRB/GPI/CS/EIF6/TPI1/PRKAA1/ENO2/SORBS1/NNT/COX6B1/IRS2/GIT1/NDUFB7/GSK3B/PFKP/NDUFS6/BCKDK/NDUFB8/RAN/PARK7/COX7A2P2/PDK2/PKM/GPD1/UQCRQ/COX4I1/SCO2/PSEN1/COX7C/AKT2/NDUFA6/BPGM/UQCR10/NDUFAF1/PRKAG1/COX7B/NDUFB3/NR4A3/PDP1/LYRM7/DDIT4/LEPR/PANK2/NDUFB5/ACO2/NDUFA2/ADSL/COX7A2/TMEM135/ATG12/NDUFB11/HDAC4/PPP2CA/INSR/HK1/NDUFV3/UGP2/NFATC4/AKT1/NDUFB9/SDHA/COX8A/NOS2/COX6A1/HMGB1/COX5B/SRC/MFN2/PPP1R3C/NDUFA1",133
"GO:0019646","aerobic electron transport chain","52/2383","93/18860",0.559139784946237,4.42525234749728,12.5927012571047,2.47204930545345e-23,2.11218955655958e-20,1.81667743695504e-20,"UQCRC1/NDUFS1/NDUFB10/NDUFS2/NDUFA9/DLD/CYCS/NDUFV1/NDUFC2/NDUFS3/UQCRFS1/COX5A/PINK1/NDUFA8/UQCRC2/NDUFB6/SNCA/NDUFA10/NDUFB2/COX6C/NDUFAB1/SDHB/UQCRH/CYC1/NDUFV2/NDUFS4/NDUFA11/UQCRB/COX6B1/NDUFB7/NDUFS6/NDUFB8/PARK7/COX7A2P2/UQCRQ/COX4I1/COX7C/NDUFA6/UQCR10/NDUFAF1/COX7B/NDUFB3/NDUFB5/NDUFA2/COX7A2/NDUFV3/NDUFB9/SDHA/COX8A/COX6A1/COX5B/NDUFA1",52
"GO:0022904","respiratory electron transport chain","57/2383","115/18860",0.495652173913044,3.92278640369282,11.9559903762241,5.69259932082864e-22,4.25592956723451e-19,3.6604911685381e-19,"UQCRC1/NDUFS1/NDUFB10/NDUFS2/NDUFA9/DLD/CYCS/GHITM/NDUFV1/NDUFC2/NDUFS3/UQCRFS1/MTCH2/COX5A/PINK1/NDUFA8/UQCRC2/NDUFB6/SNCA/NDUFA10/HCCS/NDUFB2/CCNB1/COX6C/NDUFAB1/SDHB/UQCRH/CYC1/NDUFV2/NDUFS4/NDUFA11/UQCRB/COX6B1/NDUFB7/NDUFS6/NDUFB8/PARK7/COX7A2P2/UQCRQ/COX4I1/SCO2/COX7C/NDUFA6/UQCR10/NDUFAF1/COX7B/NDUFB3/NDUFB5/NDUFA2/COX7A2/NDUFV3/NDUFB9/SDHA/COX8A/COX6A1/COX5B/NDUFA1",57
"GO:0140053","mitochondrial gene expression","71/2383","170/18860",0.417647058823529,3.30542321838513,11.4829309497313,1.60375413181054e-21,1.06578371803987e-18,9.16672098498026e-19,"MRPL4/KANSL1/MRPL21/MRPL28/MRPL35/MRPS25/MRPS33/MRPL15/MRPL1/IARS2/COA3/GFM1/LRPPRC/MRPL30/MRPS23/FOXO3/MRPL2/DAP3/MRPL42/MRPS31/MRPL38/MRPS30/MRPL37/CDK5RAP1/TUFM/MRPS18C/MRPL47/MRPL44/PRKAA1/GFM2/GADD45GIP1/MTPAP/MRPL54/MRPL14/RPUSD3/MTO1/MRPS12/RARS2/RPUSD4/RMND1/MRPL46/MRPL55/MRPL9/MRPL45/MTG1/MRPS7/MRPL24/C1QBP/TACO1/NGRN/MRPL20/GATC/MRPL22/SLIRP/TRMT10C/MRPL52/MRPS22/MRPL23/MRPL3/FASTKD3/MRPL16/MRPL57/MALSU1/MRPL43/FASTKD2/MRPS10/MRPS17/TRNT1/TSFM/MRPS26/SARS2",71
"GO:0006091","generation of precursor metabolites and energy","140/2383","494/18860",0.283400809716599,2.24294556074488,10.6461007695251,3.1410881060589e-21,1.87868479623383e-18,1.61584184992735e-18,"UQCRC1/NDUFS1/NDUFB10/HMGCLL1/H6PD/MDH1/NDUFS2/FH/NDUFA9/MDH2/DLD/MSH2/PFKM/IDH3A/IDH3B/DLAT/CYCS/SLC25A4/GHITM/NDUFV1/SUCLA2/NDUFC2/PDK3/VCP/PDHA1/UCHL1/NDUFS3/UQCRFS1/MTCH2/COX5A/CISD1/PINK1/NDUFA8/PDHB/NR1D1/IGF1/GABARAPL1/IL4/PGAM1/ZBTB20/DNAJC30/UQCRC2/NDUFB6/SNCA/NDUFA10/PRKAG2/HCCS/NDUFB2/CCNB1/ALDOA/NDUFA13/GRB10/COX6C/NDUFAB1/SDHB/UQCRH/STOML2/SLC25A14/CYC1/NDUFV2/ADPGK/NDUFS4/MPC2/NDUFA11/GAPDH/SUCLG1/UQCRB/GPI/CS/EIF6/TPI1/PRKAA1/ENO2/SORBS1/NNT/COX6B1/IRS2/GIT1/NDUFB7/GSK3B/PFKP/NDUFS6/BCKDK/NDUFB8/RAN/PARK7/COX7A2P2/PDK2/PKM/GPD1/UQCRQ/COX4I1/SCO2/PSEN1/COX7C/AKT2/NDUFA6/BPGM/UQCR10/NDUFAF1/CROT/PRKAG1/COX7B/NDUFB3/NR4A3/PDP1/LYRM7/PDX1/DDIT4/LEPR/PANK2/NDUFB5/ACO2/NDUFA2/ADSL/COX7A2/TMEM135/ATG12/NDUFB11/HDAC4/PPP2CA/INSR/HK1/NDUFV3/UGP2/CYB561/NFATC4/AKT1/NDUFB9/SDHA/COX8A/NOS2/COX6A1/HMGB1/COX5B/SRC/MFN2/PPP1R3C/NDUFA1/TALDO1",140
