"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","128/1284","308/9382",0.415584415584416,3.03661447586681,14.4711481852544,9.96608365184181e-35,3.43829885988542e-32,2.68559727881211e-32,"10121/7384/4719/5700/5694/5705/10213/4716/9861/5702/4720/4704/5601/3831/5690/1173/10540/8678/10376/7277/1213/54205/5691/291/5701/4723/7419/11258/5707/4718/4722/5693/7386/9377/5685/84790/4702/5688/1175/10381/7280/5434/55860/10383/7385/5695/4712/4705/5719/5682/4708/1211/51079/1345/10671/5683/7416/4706/6390/7388/5708/5431/5714/292/90993/1537/4729/4724/7278/5692/5709/126328/3800/55081/5710/5706/7381/5717/10488/51164/161/5599/1340/7052/4713/203068/4726/5713/4714/5609/5689/5440/27089/1327/7417/1350/7846/4700/29796/1349/5684/23236/4709/30849/5433/5686/4711/5704/4695/1347/54539/29982/4731/5718/1385/6647/4715/6389/1351/2892/1337/1212/1329/84516/6874/6667/4694/2893",128
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","117/1284","268/9382",0.436567164179104,3.18993234760776,14.4831082646621,3.18277120086435e-34,5.490280321491e-32,4.28836540748039e-32,"57181/7384/4719/5700/5694/5705/10213/4716/9861/5702/4720/4704/2778/5601/3831/5690/10376/7277/54205/5691/291/5701/4723/7419/5707/4718/7345/4722/5693/7386/9377/5685/65018/84790/4702/5688/10381/7280/1965/10383/7385/5695/4712/6622/4705/5719/5682/4708/4137/801/51079/1345/5683/7416/4706/6390/7388/5708/5714/292/1537/4729/4724/7278/5692/5709/126328/7332/3800/5710/5706/7381/5717/5599/1340/4713/203068/4726/5713/4714/11315/5567/5689/27089/1327/7417/6233/1350/7846/4700/29796/1349/5684/4709/7314/5686/4711/5704/4695/1347/7326/25800/54539/4731/5718/6647/4715/6389/1351/1337/7295/1329/55334/9927/55669/7317/4694",117
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","136/1284","368/9382",0.369565217391304,2.70035893268319,13.2502457575444,1.71447365935343e-30,1.97164470825645e-28,1.54001844489291e-28,"10121/7384/4719/5700/5694/5705/10213/4716/9861/5702/4720/4704/3831/5690/10540/25978/8678/10376/7277/54205/5691/5701/4723/11258/5707/4718/9782/7415/4722/5693/7386/310/7175/9377/5685/65018/84790/4702/5688/10381/79902/7280/55860/1965/10383/7385/5695/4712/4705/5719/5682/4708/51079/1345/10671/5683/7416/4706/6390/7388/2903/5708/5714/1537/10189/4729/4724/7278/5868/8480/79139/5692/5709/6428/126328/3800/5710/5706/7381/5717/5861/81631/51164/2521/1340/4713/4747/203068/4726/5713/4714/5689/27089/1327/1350/10718/60/7846/4700/10133/29796/1349/5879/5684/4709/220988/29979/30849/203228/5686/4711/5903/5704/4695/1347/55255/140775/54539/3084/8878/29982/4731/55746/5718/6647/4715/6389/1351/4843/1337/5217/4744/1329/84516/596/4694",136
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","111/1284","275/9382",0.403636363636364,2.94931180968564,13.0640605968326,7.99613989979765e-29,6.78849202946221e-27,5.30237668815355e-27,"7384/4719/5700/5694/5705/10213/4716/9861/5702/4720/4704/5601/3831/5690/1457/10376/7277/54205/5691/291/5701/4723/7419/5707/4718/4722/5693/7386/9377/5685/84790/4702/5688/10381/7280/1965/10383/7385/5594/5695/4712/4705/5719/5682/4708/51079/1345/5683/7416/4706/6390/7388/2903/5708/5714/292/90993/1537/4729/4724/7278/5692/5709/126328/3800/5710/5706/7381/5717/10488/1386/3312/5599/1340/4713/2932/203068/4726/5713/4714/5567/5689/5621/27089/1327/7417/1350/7846/4700/29796/1349/5879/5684/4709/5686/4711/5704/4695/1347/54539/4731/5718/1385/6647/4715/6389/1351/1337/1460/1329/4694",111
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","158/1284","480/9382",0.329166666666667,2.40517263759086,12.584173625999,9.8383942455974e-29,6.78849202946221e-27,5.30237668815355e-27,"10121/7384/4719/5700/5694/5705/10213/4716/9861/8322/5702/4720/4704/5601/3831/5690/10540/1457/25978/8678/10376/7277/54205/5691/291/5701/4723/7419/11258/5707/4718/7415/7345/4722/5693/7386/9377/5685/65018/84790/4702/5688/10381/7280/55860/1965/10383/7385/5594/5695/4712/6622/4705/5719/5582/5682/4708/4137/801/51079/1345/10671/5683/7416/4706/6390/7388/2903/5708/5714/292/1537/4729/4724/7278/5868/79139/5692/5709/126328/7332/3800/55081/5710/5706/7381/5717/5861/81631/51164/2521/5599/1340/4713/4747/1020/2932/203068/4726/5713/4714/5609/11315/5689/1452/5664/5621/27089/1327/7417/5663/6233/1350/7846/4700/10133/29796/1131/1349/5879/5684/23236/4709/7314/30849/203228/5686/4711/5704/5894/4695/1347/7326/55255/140775/54539/8878/29982/4731/5718/5970/6647/4715/6389/1351/4843/2892/1337/1460/4744/1329/84516/9927/55669/596/7317/4694/2893",158
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","132/1284","388/9382",0.34020618556701,2.48583678581752,11.9022404883039,1.46441255203681e-25,8.42037217421167e-24,6.57701076002498e-24,"57181/7384/4719/5700/5694/5705/57142/10213/4716/9861/8322/5702/4720/4704/5601/3831/5690/1457/8678/10376/7277/10313/54205/5691/291/5701/4723/7419/5707/4718/4722/5693/7386/9377/5685/84790/4702/5688/10381/7280/1965/10383/7385/5594/5695/4712/6622/4705/5719/5682/4708/4137/801/51079/1345/5683/7416/4706/6390/7388/8883/2903/5708/5714/292/1537/4729/4724/7278/5692/5709/126328/3800/2597/5710/5706/7381/5717/5599/1340/8660/4713/1020/2932/203068/4726/5713/4714/5609/5689/1452/5664/27089/1327/7417/5663/1350/208/7846/4700/29796/1131/1349/5684/23236/4709/30849/5686/4711/5704/5894/4695/1347/25800/54539/29982/3643/102/4731/5718/207/5970/4715/6389/322/1351/4843/1337/1460/1329/55334/4694",132
"Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","64/1284","138/9382",0.463768115942029,3.38868571944557,11.2560699052443,7.78688364586359e-21,3.83782122546134e-19,2.9976574636708e-19,"7384/4719/4716/4720/535/4704/9114/526/523/54205/4723/4718/4722/7386/51382/9377/4702/7385/4712/4705/4708/51079/1345/527/4706/6390/7388/1537/528/4729/4724/529/126328/7381/534/537/1340/4713/4726/4714/8992/27089/1327/1350/1353/4700/5464/29796/1349/4709/4711/4695/1347/533/54539/51606/4731/4715/6389/27068/1351/1337/1329/4694",64
"Genetic Information Processing","Folding, sorting and degradation","hsa03050","Proteasome","33/1284","46/9382",0.717391304347826,5.24187322226737,11.4835025845165,3.66070653474405e-19,1.57867969310837e-17,1.23308009591379e-17,"5700/5694/5705/10213/9861/5702/5690/5691/5701/5707/5693/5685/5688/5695/5719/5682/5683/5708/5714/10197/9491/5692/5709/5710/5706/5717/5713/5689/5684/51371/5686/5704/5718",33
"Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","66/1284","157/9382",0.420382165605096,3.07167093279362,10.4233088163827,1.23279053266885e-18,4.72569704189726e-17,3.69116229664591e-17,"7384/4719/4716/4720/4704/5601/54205/4723/4718/4722/7386/998/9377/4702/1965/9021/7385/4712/4705/51422/4708/51079/1345/4706/6390/7388/1537/4729/4724/83737/126328/7381/5562/5599/1340/8660/4713/2932/4726/4714/27089/1327/1350/208/4700/29796/5571/1349/5879/6945/4709/3953/4711/4695/1347/54539/3643/4731/207/5970/4715/6389/1351/1337/1329/4694",66
"Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","78/1284","235/9382",0.331914893617021,2.42525352952873,8.81058834740941,8.65596160957541e-15,2.98630675530352e-13,2.33255386531716e-13,"7384/4719/4716/4720/4704/6654/2778/2260/4723/4718/4722/6597/7386/28958/9377/4702/6595/7385/4712/23305/4705/51412/51422/4708/55471/51079/1345/4706/6390/7388/90993/1537/4729/4724/79133/126328/7381/10488/1386/5562/7249/1340/4713/29078/4726/4714/5567/27089/1327/1350/60/1353/4700/6603/123096/6197/29796/51103/5571/1349/4709/4711/115/4695/1347/54539/6196/55744/4731/1385/4715/6389/1351/1337/1329/65260/4694/6009",78
