"ENTREZID","SYMBOL"
"10121","ACTR1A"
"7384","UQCRC1"
"4719","NDUFS1"
"5700","PSMC1"
"5694","PSMB6"
"5705","PSMC5"
"10213","PSMD14"
"4716","NDUFB10"
"9861","PSMD6"
"5702","PSMC3"
"4720","NDUFS2"
"4704","NDUFA9"
"5601","MAPK9"
"3831","KLC1"
"5690","PSMB2"
"1173","AP2M1"
"10540","DCTN2"
"8678","BECN1"
"10376","TUBA1B"
"7277","TUBA4A"
"1213","CLTC"
"54205","CYCS"
"5691","PSMB3"
"291","SLC25A4"
"5701","PSMC2"
"4723","NDUFV1"
"7419","VDAC3"
"11258","DCTN3"
"5707","PSMD1"
"4718","NDUFC2"
"4722","NDUFS3"
"5693","PSMB5"
"7386","UQCRFS1"
"9377","COX5A"
"5685","PSMA4"
"84790","TUBA1C"
"4702","NDUFA8"
"5688","PSMA7"
"1175","AP2S1"
"10381","TUBB3"
"7280","TUBB2A"
"5434","POLR2E"
"55860","ACTR10"
"10383","TUBB4B"
"7385","UQCRC2"
"5695","PSMB7"
"4712","NDUFB6"
"4705","NDUFA10"
"5719","PSMD13"
"5682","PSMA1"
"4708","NDUFB2"
"1211","CLTA"
"51079","NDUFA13"
"1345","COX6C"
"10671","DCTN6"
"5683","PSMA2"
"7416","VDAC1"
"4706","NDUFAB1"
"6390","SDHB"
"7388","UQCRH"
"5708","PSMD2"
"5431","POLR2B"
"5714","PSMD8"
"292","SLC25A5"
"90993","CREB3L1"
"1537","CYC1"
"4729","NDUFV2"
"4724","NDUFS4"
"7278","TUBA3C"
"5692","PSMB4"
"5709","PSMD3"
"126328","NDUFA11"
"3800","KIF5C"
"55081","IFT57"
"5710","PSMD4"
"5706","PSMC6"
"7381","UQCRB"
"5717","PSMD11"
"10488","CREB3"
"51164","DCTN4"
"161","AP2A2"
"5599","MAPK8"
"1340","COX6B1"
"7052","TGM2"
"4713","NDUFB7"
"203068","TUBB"
"4726","NDUFS6"
"5713","PSMD7"
"4714","NDUFB8"
"5609","MAP2K7"
"5689","PSMB1"
"5440","POLR2K"
"27089","UQCRQ"
"1327","COX4I1"
"7417","VDAC2"
"1350","COX7C"
"7846","TUBA1A"
"4700","NDUFA6"
"29796","UQCR10"
"1349","COX7B"
"5684","PSMA3"
"23236","PLCB1"
"4709","NDUFB3"
"30849","PIK3R4"
"5433","POLR2D"
"5686","PSMA5"
"4711","NDUFB5"
"5704","PSMC4"
"4695","NDUFA2"
"1347","COX7A2"
"54539","NDUFB11"
"29982","NRBF2"
"4731","NDUFV3"
"5718","PSMD12"
"1385","CREB1"
"6647","SOD1"
"4715","NDUFB9"
"6389","SDHA"
"1351","COX8A"
"2892","GRIA3"
"1337","COX6A1"
"1212","CLTB"
"1329","COX5B"
"84516","DCTN5"
"6874","TAF4"
"6667","SP1"
"4694","NDUFA1"
"2893","GRIA4"
"57181","SLC39A10"
"2778","GNAS"
"7345","UCHL1"
"65018","PINK1"
"1965","EIF2S1"
"6622","SNCA"
"4137","MAPT"
"801","CALM1"
"7332","UBE2L3"
"11315","PARK7"
"5567","PRKACB"
"6233","RPS27A"
"7314","UBB"
"7326","UBE2G1"
"25800","SLC39A6"
"7295","TXN"
"55334","SLC39A9"
"9927","MFN2"
"55669","MFN1"
"7317","UBA1"
"25978","CHMP2B"
"9782","MATR3"
"7415","VCP"
"310","ANXA7"
"7175","TPR"
"79902","NUP85"
"2903","GRIN2A"
"10189","ALYREF"
"5868","RAB5A"
"8480","RAE1"
"79139","DERL1"
"6428","SRSF3"
"5861","RAB1A"
"81631","MAP1LC3B"
"2521","FUS"
"4747","NEFL"
"10718","NRG3"
"60","ACTB"
"10133","OPTN"
"5879","RAC1"
"220988","HNRNPA3"
"29979","UBQLN1"
"203228","C9orf72"
"5903","RANBP2"
"55255","WDR41"
"140775","SMCR8"
"3084","NRG1"
"8878","SQSTM1"
"55746","NUP133"
"4843","NOS2"
"5217","PFN2"
"4744","NEFH"
"596","BCL2"
"1457","CSNK2A1"
"5594","MAPK1"
"1386","ATF2"
"3312","HSPA8"
"2932","GSK3B"
"5621","PRNP"
"1460","CSNK2B"
